Fecha,Moneda,Venta
2022-01-01,EUR,4.846
2022-01-02,EUR,4.846
2022-01-03,EUR,4.925
2022-01-04,EUR,4.713
2022-01-05,EUR,4.665
2022-01-06,EUR,4.742
2022-01-07,EUR,4.648
2022-01-08,EUR,4.648
2022-01-09,EUR,4.648
2022-01-10,EUR,4.844
2022-01-11,EUR,4.556
2022-01-12,EUR,4.68
2022-01-13,EUR,4.647
2022-01-14,EUR,4.536
2022-01-15,EUR,4.536
2022-01-16,EUR,4.536
2022-01-17,EUR,4.764
2022-01-18,EUR,4.565
2022-01-19,EUR,4.56
2022-01-20,EUR,4.655
2022-01-21,EUR,4.634
2022-01-22,EUR,4.634
2022-01-23,EUR,4.634
2022-01-24,EUR,4.67
2022-01-25,EUR,4.512
2022-01-26,EUR,4.596
2022-01-27,EUR,4.537
2022-01-28,EUR,4.431
2022-01-29,EUR,4.431
2022-01-30,EUR,4.431
2022-01-31,EUR,4.71
2022-02-01,EUR,4.536
2022-02-02,EUR,4.452
2022-02-03,EUR,4.46
2022-02-04,EUR,4.752
2022-02-05,EUR,4.752
2022-02-06,EUR,4.752
2022-02-07,EUR,4.696
2022-02-08,EUR,4.516
2022-02-09,EUR,4.565
2022-02-10,EUR,4.595
2022-02-11,EUR,4.533
2022-02-12,EUR,4.533
2022-02-13,EUR,4.533
2022-02-14,EUR,4.658
2022-02-15,EUR,4.434
2022-02-16,EUR,4.461
2022-02-17,EUR,4.414
2022-02-18,EUR,4.427
2022-02-19,EUR,4.427
2022-02-20,EUR,4.427
2022-02-21,EUR,4.558
2022-02-22,EUR,4.293
2022-02-23,EUR,4.279
2022-02-24,EUR,4.51
2022-02-25,EUR,4.469
2022-02-26,EUR,4.469
2022-02-27,EUR,4.469
2022-02-28,EUR,4.549
2022-03-01,EUR,4.495
2022-03-02,EUR,4.495
2022-03-03,EUR,4.436
2022-03-04,EUR,4.545
2022-03-05,EUR,4.545
2022-03-06,EUR,4.545
2022-03-07,EUR,4.649
2022-03-08,EUR,4.118
2022-03-09,EUR,4.359
2022-03-10,EUR,4.138
2022-03-11,EUR,4.374
2022-03-12,EUR,4.374
2022-03-13,EUR,4.374
2022-03-14,EUR,4.411
2022-03-15,EUR,4.411
2022-03-16,EUR,4.294
2022-03-17,EUR,4.321
2022-03-18,EUR,4.481
2022-03-19,EUR,4.481
2022-03-20,EUR,4.481
2022-03-21,EUR,4.333
2022-03-22,EUR,4.418
2022-03-23,EUR,4.456
2022-03-24,EUR,4.215
2022-03-25,EUR,4.199
2022-03-26,EUR,4.199
2022-03-27,EUR,4.199
2022-03-28,EUR,4.278
2022-03-29,EUR,4.356
2022-03-30,EUR,4.358
2022-03-31,EUR,4.28
2022-04-01,EUR,4.365
2022-04-02,EUR,4.365
2022-04-03,EUR,4.365
2022-04-04,EUR,4.392
2022-04-05,EUR,4.121
2022-04-06,EUR,4.1
2022-04-07,EUR,4.177
2022-04-08,EUR,4.118
2022-04-09,EUR,4.118
2022-04-10,EUR,4.118
2022-04-11,EUR,4.322
2022-04-12,EUR,4.107
2022-04-13,EUR,4.228
2022-04-14,EUR,4.228
2022-04-15,EUR,4.228
2022-04-16,EUR,4.228
2022-04-17,EUR,4.228
2022-04-18,EUR,4.051
2022-04-19,EUR,4.142
2022-04-20,EUR,4.212
2022-04-21,EUR,4.067
2022-04-22,EUR,4.114
2022-04-23,EUR,4.114
2022-04-24,EUR,4.114
2022-04-25,EUR,4.236
2022-04-26,EUR,4.298
2022-04-27,EUR,4.168
2022-04-28,EUR,4.268
2022-04-29,EUR,4.37
2022-04-30,EUR,4.37
2022-05-01,EUR,4.37
2022-05-02,EUR,4.385
2022-05-03,EUR,4.24
2022-05-04,EUR,4.319
2022-05-05,EUR,4.147
