Fecha,Moneda,Venta
2022-01-01,USD,3.998
2022-01-02,USD,3.998
2022-01-03,USD,3.995
2022-01-04,USD,3.968
2022-01-05,USD,3.965
2022-01-06,USD,3.973
2022-01-07,USD,3.955
2022-01-08,USD,3.955
2022-01-09,USD,3.955
2022-01-10,USD,3.933
2022-01-11,USD,3.925
2022-01-12,USD,3.901
2022-01-13,USD,3.9
2022-01-14,USD,3.887
2022-01-15,USD,3.887
2022-01-16,USD,3.887
2022-01-17,USD,3.869
2022-01-18,USD,3.856
2022-01-19,USD,3.866
2022-01-20,USD,3.859
2022-01-21,USD,3.834
2022-01-22,USD,3.834
2022-01-23,USD,3.834
2022-01-24,USD,3.842
2022-01-25,USD,3.852
2022-01-26,USD,3.849
2022-01-27,USD,3.839
2022-01-28,USD,3.849
2022-01-29,USD,3.849
2022-01-30,USD,3.849
2022-01-31,USD,3.846
2022-02-01,USD,3.878
2022-02-02,USD,3.86
2022-02-03,USD,3.863
2022-02-04,USD,3.873
2022-02-05,USD,3.873
2022-02-06,USD,3.873
2022-02-07,USD,3.848
2022-02-08,USD,3.845
2022-02-09,USD,3.834
2022-02-10,USD,3.767
2022-02-11,USD,3.758
2022-02-12,USD,3.758
2022-02-13,USD,3.758
2022-02-14,USD,3.789
2022-02-15,USD,3.806
2022-02-16,USD,3.785
2022-02-17,USD,3.75
2022-02-18,USD,3.726
2022-02-19,USD,3.726
2022-02-20,USD,3.726
2022-02-21,USD,3.752
2022-02-22,USD,3.745
2022-02-23,USD,3.715
2022-02-24,USD,3.788
2022-02-25,USD,3.763
2022-02-26,USD,3.763
2022-02-27,USD,3.763
2022-02-28,USD,3.759
2022-03-01,USD,3.791
2022-03-02,USD,3.77
2022-03-03,USD,3.735
2022-03-04,USD,3.76
2022-03-05,USD,3.76
2022-03-06,USD,3.76
2022-03-07,USD,3.751
2022-03-08,USD,3.736
2022-03-09,USD,3.718
2022-03-10,USD,3.721
2022-03-11,USD,3.698
2022-03-12,USD,3.698
2022-03-13,USD,3.698
2022-03-14,USD,3.715
2022-03-15,USD,3.735
